barcode,product_name,brand,verified_ingredients,flagged_additive_code,flagged_additive_name,functional_class,banned_in_jurisdiction,why_banned_abroad,india_fssai_status,legal_summary,risk_tier
8906153561080,Badam Flavoured Milk,Nandini,"milk solids, sugar, stabilizers (ins 460, ins 466, ins 407), ins 102, ins 110, 
allergen advice: contains <span class=""allergen"">milk</span>",INS 110 / E110,Sunset Yellow FCF (Yellow 6),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 6) | PERMITTED under positive list,"Azo dye metabolism generates aromatic amines linked to pediatric neuro-hyperactivity, allergic rhinitis, hives, and gastric irritation in sensitive individuals.",PERMITTED under FSSAI MPLs,Authorised globally with ADI. Requires mandatory EU warning label for child activity and attention impairment.,🔴 High Concern
8901512924001,Sundrop cocoa nut,Sundrop,"sugar, refined palm superolein oil, hazelnut paste, milk solids, cocoa solids, maltodextrin, emulsifier, nature identical flavour, hydrogenated vegetable oil",PHO / Trans Fats,Hydrogenated / Partially Hydrogenated Vegetable Oils,Industrial Synthetic Trans Fat,CAPPED < 2g per 100g fat | PHO GRAS REVOCATION (Effectively Banned) | VOLUNTARY REDUCTION / LABELLING,"Industrial trans fats elevate systemic LDL cholesterol, lower protective HDL cholesterol, calcify arterial endothelium, and cause over 500,000 premature cardiovascular deaths annually worldwide.",TRANS FAT CAPPED < 2% of total fat (FSSAI),US FDA revoked GRAS status for PHOs (banned). WHO-led global elimination campaign; EU and FSSAI cap trans fats < 2% of total fat.,🟡 Moderate Concern
8908014480080,Bovonto,Kali Mark,"carbonated water, sugar, colour (ins 150d, ins 122, ins 102, ins 124, ins 133), natural, nature identical & artificial flavouring substances, acidity regulator (ins 330), preservative (ins 21.1), sweetener (ins 955).

contains no fruit juice or pulp.",INS 102 / E102,Tartrazine (Yellow 5),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 5) | PERMITTED under positive list,The 2007 Southampton study demonstrated that mixtures of synthetic azo dyes with benzoate triggers pediatric hyperactivity and neuro-attentional deficits. Can cause urticaria and bronchospasm in aspirin-sensitive individuals.,PERMITTED under FSSAI MPLs,Authorised globally with ADI. EU requires mandatory label warning: 'May have an adverse effect on activity and attention in children'.,🔴 High Concern
8908014480080,Bovonto,Kali Mark,"carbonated water, sugar, colour (ins 150d, ins 122, ins 102, ins 124, ins 133), natural, nature identical & artificial flavouring substances, acidity regulator (ins 330), preservative (ins 21.1), sweetener (ins 955).

contains no fruit juice or pulp.",INS 122 / E122,Azorubine / Carmoisine,Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Azo dye associated with pediatric hyperactivity, severe histamine release, allergic asthma, and localized inflammation in animal studies.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
8908014480080,Bovonto,Kali Mark,"carbonated water, sugar, colour (ins 150d, ins 122, ins 102, ins 124, ins 133), natural, nature identical & artificial flavouring substances, acidity regulator (ins 330), preservative (ins 21.1), sweetener (ins 955).

contains no fruit juice or pulp.",INS 124 / E124,Ponceau 4R (Brilliant Scarlet),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Synthetic coal-tar derived dye linked to allergic asthma amplification, pediatric hyperkinesis, and histamine release.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
8908014480080,Bovonto,Kali Mark,"carbonated water, sugar, colour (ins 150d, ins 122, ins 102, ins 124, ins 133), natural, nature identical & artificial flavouring substances, acidity regulator (ins 330), preservative (ins 21.1), sweetener (ins 955).

contains no fruit juice or pulp.",INS 133 / E133,Brilliant Blue FCF (Blue 1),Synthetic Triphenylmethane Dye,AUTHORISED (ADI 0-6 mg/kg bw/day) | PERMITTED (FD&C Blue No. 1) | PERMITTED under positive list,Triphenylmethane dyes such as Brilliant Blue FCF can cross the blood-brain barrier in animal models and have been studied for both hypersensitivity reactions and neuroprotective properties; FD&C Blue No. 1 demonstrates a strong safety profile among approved synthetic dyes at regulated dietary doses under ADI (0-6 mg/kg bw/day).,PERMITTED under FSSAI MPLs,"Authorised food color in EU, US, India, Japan with ADI (0-6 mg/kg bw/day). Historical member-state bans harmonised under EU law.",🔴 High Concern
8908014480080,Bovonto,Kali Mark,"carbonated water, sugar, colour (ins 150d, ins 122, ins 102, ins 124, ins 133), natural, nature identical & artificial flavouring substances, acidity regulator (ins 330), preservative (ins 21.1), sweetener (ins 955).

contains no fruit juice or pulp.",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8903553002809,Tempting Tomato Ketchup,Temptin,"water, sugar, tomato paste (28°b) 24.7%, edible common salt, acidity regulator acetic acid (ins 260), emulsifying & stabilizing agent (ins 1422 & ins 415), onion powder, garlic powder, mixed spices (clove, cinnamon, chilli) preservative sodium benzoate (ins 211). contains permitted class ii preservative (ins 211). tomato ketchup nutritional information a l n slu d per (100g) - per serve 1 tbsp (15g) % rda per serve energy value (kcal) 150 02 f",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8906126830007,Refined Sunflower Oil,Hello Life,"refined sunflower oil, permitted antioxidant tbhq (e319), vitamin a, vitamin d and antifoaming agent dimethyl polysiloxane dmps (e-900)",INS 319 / E319,TBHQ (Tertiary Butylhydroquinone),Synthetic Petroleum Antioxidant,AUTHORISED with ADI and MPLs | PERMITTED ≤ 0.02% of fat content | NOT APPROVED on food positive list,"High-dose animal studies show hepatic enlargement, neurotoxic alterations, and cellular DNA stress. While human dietary intake at regulated levels is below ADI, FoodFactsIndia flags frequent intake in daily fried snacks/oils as High Concern.",PERMITTED under FSSAI MPLs,"Not approved for food use under Japan's positive list system. Authorised with strict ADI/MPLs in EU, US, and India.",🔴 High Concern
8901826903105,Pio' -  Badam,Verka,"milk solids,sugar,contains permitted synthetic food colors(e102,e122,e127,e133) added artificial almond flavour.",INS 102 / E102,Tartrazine (Yellow 5),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 5) | PERMITTED under positive list,The 2007 Southampton study demonstrated that mixtures of synthetic azo dyes with benzoate triggers pediatric hyperactivity and neuro-attentional deficits. Can cause urticaria and bronchospasm in aspirin-sensitive individuals.,PERMITTED under FSSAI MPLs,Authorised globally with ADI. EU requires mandatory label warning: 'May have an adverse effect on activity and attention in children'.,🔴 High Concern
8901826903105,Pio' -  Badam,Verka,"milk solids,sugar,contains permitted synthetic food colors(e102,e122,e127,e133) added artificial almond flavour.",INS 122 / E122,Azorubine / Carmoisine,Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Azo dye associated with pediatric hyperactivity, severe histamine release, allergic asthma, and localized inflammation in animal studies.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
8901826903105,Pio' -  Badam,Verka,"milk solids,sugar,contains permitted synthetic food colors(e102,e122,e127,e133) added artificial almond flavour.",INS 127 / E127,Erythrosine (Red 3),Synthetic Organoiodine Fluorone Dye,RESTRICTED (Cocktail & Candied Cherries only) | PHASING OUT IN FOODS (FDA 2024 Rule) | PERMITTED in specified categories,High-dose rat studies demonstrated thyroid follicular cell hypertrophy and adenoma risk due to iodine metabolic disruption.,PERMITTED under FSSAI MPLs,Banned in US cosmetics (1990); FDA phasing out food/drug uses (2024-2028). EU restricts almost exclusively to candied cherries.,🔴 High Concern
8901826903105,Pio' -  Badam,Verka,"milk solids,sugar,contains permitted synthetic food colors(e102,e122,e127,e133) added artificial almond flavour.",INS 133 / E133,Brilliant Blue FCF (Blue 1),Synthetic Triphenylmethane Dye,AUTHORISED (ADI 0-6 mg/kg bw/day) | PERMITTED (FD&C Blue No. 1) | PERMITTED under positive list,Triphenylmethane dyes such as Brilliant Blue FCF can cross the blood-brain barrier in animal models and have been studied for both hypersensitivity reactions and neuroprotective properties; FD&C Blue No. 1 demonstrates a strong safety profile among approved synthetic dyes at regulated dietary doses under ADI (0-6 mg/kg bw/day).,PERMITTED under FSSAI MPLs,"Authorised food color in EU, US, India, Japan with ADI (0-6 mg/kg bw/day). Historical member-state bans harmonised under EU law.",🔴 High Concern
8901063146938,Winkin' Cow Bourbon Shake,Britannia,"Toned milk, sugar, cocoa solids, artificial chocolate flavour, stabilizers (INS 466, INS 407), emulsifier (INS 471), colour (INS 122)",INS 122 / E122,Azorubine / Carmoisine,Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Azo dye associated with pediatric hyperactivity, severe histamine release, allergic asthma, and localized inflammation in animal studies.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
8904092498023,Pizza Bread,Kabhib,"Whole wheat flour, refined wheat flour, yeast, palm oil, sugar, iodised salt, colour (INS 150d), gluten, permitted preservative (INS 282), soya flour, flour treatment agent (E1100), flour treatment agent (E1104), flour treatment agent (E1102), flour treatment agent (E510), acidity regulator (INS 260)",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8904089301497,Matka Kulfi,Havmor,"ice cream (98.3%): milk solids, sugar, emulsifier (ins 471) and stabilizers (ins 412, ins 401, ins 466, ins 410, ins 415, ins 407). topping (1.7%): sauce (1.1%) [sugar, liquid glucose, added water, stabilizers (ins 401, ins 466, ins 407), nature identical (saffron) flavoring substances, saffron (&lt;0.01%), synthetic food colours (ins 110, ins 102)], <span class=""allergen"">pistachio nuts</span> (0.5%), <span class=""allergen"">almonds</span> (0.1%).",INS 102 / E102,Tartrazine (Yellow 5),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 5) | PERMITTED under positive list,The 2007 Southampton study demonstrated that mixtures of synthetic azo dyes with benzoate triggers pediatric hyperactivity and neuro-attentional deficits. Can cause urticaria and bronchospasm in aspirin-sensitive individuals.,PERMITTED under FSSAI MPLs,Authorised globally with ADI. EU requires mandatory label warning: 'May have an adverse effect on activity and attention in children'.,🔴 High Concern
8904089301497,Matka Kulfi,Havmor,"ice cream (98.3%): milk solids, sugar, emulsifier (ins 471) and stabilizers (ins 412, ins 401, ins 466, ins 410, ins 415, ins 407). topping (1.7%): sauce (1.1%) [sugar, liquid glucose, added water, stabilizers (ins 401, ins 466, ins 407), nature identical (saffron) flavoring substances, saffron (&lt;0.01%), synthetic food colours (ins 110, ins 102)], <span class=""allergen"">pistachio nuts</span> (0.5%), <span class=""allergen"">almonds</span> (0.1%).",INS 110 / E110,Sunset Yellow FCF (Yellow 6),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 6) | PERMITTED under positive list,"Azo dye metabolism generates aromatic amines linked to pediatric neuro-hyperactivity, allergic rhinitis, hives, and gastric irritation in sensitive individuals.",PERMITTED under FSSAI MPLs,Authorised globally with ADI. Requires mandatory EU warning label for child activity and attention impairment.,🔴 High Concern
8901246007018,demonte ketchup,,"sugar, water, liquid glucose, cocoa powder (8.5%), malt extract, acidity regulator pall with a slice of cake. mkt. by:del monte foods pvt. ltd., (ins 30), preservative (ins 202), lodized sale; thickener (-2, first floor plot no.-16, udyog vihar ins 415) and nature identical flavouring substance. allergen: contains wheat & barley",INS 202 / E202,Potassium Sorbate,Chemical Preservative,AUTHORISED with MPLs (ADI 11 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED in specified categories,Exhibits minor mutagenic/clastogenic activity in vitro when reacted with nitrites; localized mucous membrane irritant at elevated doses.,PERMITTED under FSSAI MPLs,"Fully authorised preservative in EU, US, India, Japan subject to ADI and MPLs.",🟡 Moderate Concern
8906159751089,Nabati Richeese Cheese Wafer,Nabati,"<span class=""allergen"">cream</span> (sugar, refined palm olein, cheese powder (sugar, cheese solids (3.5%), maltodextrin, colours (ins 110, ins 100(i))), maltodextrin, <span class=""allergen"">milk powder</span>, corn starch, emulsifier (ins 322), acidity regulator (ins 330)). wafer sheet (refined wheat flour (maida), refined palm olein, flour treatment agent (ins 1101 (i)), lodized salt, raising agent (ins 500(ii)), emulsifier (ins 322)). numbers in the bracket as per international numbering system allergen: contains <span class=""allergen"">wheat</span>, <span class=""allergen"">milk</span> and <span class=""allergen"">soya</span>",INS 110 / E110,Sunset Yellow FCF (Yellow 6),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 6) | PERMITTED under positive list,"Azo dye metabolism generates aromatic amines linked to pediatric neuro-hyperactivity, allergic rhinitis, hives, and gastric irritation in sensitive individuals.",PERMITTED under FSSAI MPLs,Authorised globally with ADI. Requires mandatory EU warning label for child activity and attention impairment.,🔴 High Concern
8901725000042,Tedhe Medhe Cocktail Mix,BINGO,"peanut (29.5%), peas dry (27.1%), kabuli chana (26.5%), *edible vegetable oil and seasoning (spices and condiments, iodized salt, black salt and natural flavours and natural flavouring substances) and colors[ins 133,ins 100(i)]",INS 133 / E133,Brilliant Blue FCF (Blue 1),Synthetic Triphenylmethane Dye,AUTHORISED (ADI 0-6 mg/kg bw/day) | PERMITTED (FD&C Blue No. 1) | PERMITTED under positive list,Triphenylmethane dyes such as Brilliant Blue FCF can cross the blood-brain barrier in animal models and have been studied for both hypersensitivity reactions and neuroprotective properties; FD&C Blue No. 1 demonstrates a strong safety profile among approved synthetic dyes at regulated dietary doses under ADI (0-6 mg/kg bw/day).,PERMITTED under FSSAI MPLs,"Authorised food color in EU, US, India, Japan with ADI (0-6 mg/kg bw/day). Historical member-state bans harmonised under EU law.",🔴 High Concern
8901552032711,Soul Amritsari Kulcha,Soul,"refined wheat flour (28%), potato (20%), paneer (<span class=""allergen"">milk</span>) (19%), water, <span class=""allergen"">milk</span>, refined sunflower seed oil, curd (<span class=""allergen"">milk</span>), edible common salt, mixed spices (coriander seeds, cumin, black pepper, cassia, dried ginger, fenugreek leaves, cardamom, red chilli, cloves, nutmeg, edible common salt, mace, compounded asafoetida (<span class=""allergen"">wheat</span>)), ginger, green chilli, sugar, coriander leaves, bakery & industrial margarine (palmolein, palm oil, ricebran oil, sesame oil, water, salt, emulsifying agents - ins 471 & antioxidants - ins 319), <span class=""allergen"">butter</span> (<span class=""allergen"">milk</span>, edible common salt), raising agent (ins 500 (ii)), pomegranate seeds, dry mango powder, black salt, bakers yeast (dried).",INS 319 / E319,TBHQ (Tertiary Butylhydroquinone),Synthetic Petroleum Antioxidant,AUTHORISED with ADI and MPLs | PERMITTED ≤ 0.02% of fat content | NOT APPROVED on food positive list,"High-dose animal studies show hepatic enlargement, neurotoxic alterations, and cellular DNA stress. While human dietary intake at regulated levels is below ADI, FoodFactsIndia flags frequent intake in daily fried snacks/oils as High Concern.",PERMITTED under FSSAI MPLs,"Not approved for food use under Japan's positive list system. Authorised with strict ADI/MPLs in EU, US, and India.",🔴 High Concern
8901030970238,Choco Brownie Fudge,Kwality Walls,"water, chocolate flavoured confectionery (13.7%), sugar, condensed milk, cocoa solids, palm oil, liquid glucose, milk solids, maltodextrin, stabilisers (e412, e410) and artificial (vanillin) flavouring substance, dried browne pieces, refined wheat flour (maida), sugar, palm oil, liquid glucose, cocoa solids milk solds, modified starch-e1442, leavening agent-e500, emulsifier-e322 and artificial (vanilla & chocolate flavouring substances), edible palm oil, milk solids, liquid glucose, cocoa solids, emulsifier-e471, vegetable protein (soy), stabilisers (e412, e417, e407, e410), nature identical flavouring substance, food colours (natural (150d), e122, e133, e102)",INS 102 / E102,Tartrazine (Yellow 5),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 5) | PERMITTED under positive list,The 2007 Southampton study demonstrated that mixtures of synthetic azo dyes with benzoate triggers pediatric hyperactivity and neuro-attentional deficits. Can cause urticaria and bronchospasm in aspirin-sensitive individuals.,PERMITTED under FSSAI MPLs,Authorised globally with ADI. EU requires mandatory label warning: 'May have an adverse effect on activity and attention in children'.,🔴 High Concern
8901030970238,Choco Brownie Fudge,Kwality Walls,"water, chocolate flavoured confectionery (13.7%), sugar, condensed milk, cocoa solids, palm oil, liquid glucose, milk solids, maltodextrin, stabilisers (e412, e410) and artificial (vanillin) flavouring substance, dried browne pieces, refined wheat flour (maida), sugar, palm oil, liquid glucose, cocoa solids milk solds, modified starch-e1442, leavening agent-e500, emulsifier-e322 and artificial (vanilla & chocolate flavouring substances), edible palm oil, milk solids, liquid glucose, cocoa solids, emulsifier-e471, vegetable protein (soy), stabilisers (e412, e417, e407, e410), nature identical flavouring substance, food colours (natural (150d), e122, e133, e102)",INS 122 / E122,Azorubine / Carmoisine,Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Azo dye associated with pediatric hyperactivity, severe histamine release, allergic asthma, and localized inflammation in animal studies.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
