barcode,product_name,brands,ingredients_text,sold_in_india_status,ingredient_confidence,status,data_source,source_license,collection_method
8903023270752,More Atta Bread,More,"Whole wheat flour, sugar, yeast, iodised salt, refined palmolein oil, soya flour, emulsifier (INS 476, INS 471, INS 481(i)), preservative (INS 282), antioxidant (INS 300), improver (INS 1100), acidity regulator (INS 260)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8905950003892,Soya Sticks,Bikaji,"edible vegetable oil (palmolein oil, cottonseed oil), tapioca starch, black gram flour, soya powder (7%), rice flour, black lentil flour, ground spices & condiments (lodised salt, sugar, maltodextrin, fennel, cumin, red chilli, ginger, turmeric (colouring & spices), dry mango powder, corn starch, garlic, mustard seeds, acidity regulator (ins 330, ins 296), anticaking agent (ins 551), asafoetida, flavouring enhancer (ins 627, ins 631, ins 635), hydrolyzed vegetable protein (soya)). hydrogenated vegetable oil (palm, sesame) contains: soy, sesame, mustard contains added flavours (nature identical & natural flavouring substances) contains added permitted natural colour (ins 160c)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906142560421,Nourish Organics Popeas Organic Chickpea Protein Puffs,Nourish Organics,"organic flours (71%) [chickpea, brown rice, maize], organic sunflower oil (15%), organic vegan *parmesan seasoning (10%) [cashew ground, garlic powder, onion powder, salt, paprika, nutritional yeast], <span class=""allergen"">soy protein isolate</span>.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906011347405,Mello Royale Dark Compound,Mello Royale,"sugar, edible vegetable fat (hydrogenated oil), cocoa solids, emulsifiers (ins 322 (i), ins 476, ins 492), edible salt, flavour.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904083301547,Milky Mist Sweetened Condensed Milk,MilkyMist,"Milk solids, sugar",CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8901058010619,Maggi cheese noodles,Maggi,"noodls-
refined wheat flour (maida), palm oil, wheat gluten, lodized
salt, thickeners (508 & 412), acidity regulators (501(i) &
500(i)) and humectant (451(i)).
masala *tastemaker*

sugar, thickeners (508 & 412), starch, milk solids, lodized salt,
cheese (5.6%), flavour enhancer (635), garlic powder, yeast
extract powder, nature identical flavouring substances, onion
powder, spice extract blend, maltodextrin, capsicum extract,
black pepper bits, dehydrated coriander leaves, palm oil, red
chilli flakes (1%) and rosemary extract.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906057206254,Tomato Ketchup,Tikks,"water, sugar, tomato paste (18%), liquid glucose, edible common salt, stabilizers (ins1422, ins415), sweetener (ins 960), acidity regulator (ins 260, ins 330), potato/carrot powder spices and condiments. contains permitted class-ii preservative (ins 211).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906050621900,Ginger garlic paste,LA-SOON,"fresh garlic (65%),

fresh ginger (35%), water, salt, acetic acid & citric acid (acidity regulator, e260 & e330), xanthan gum (stabilizing & emulsifying agent, e415). sodium benzoate (preservative, e211)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904256709811,Himalayan Pink Salt,"Bb, bb GoodDiet",natural rock salt,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8901725013714,Bingo Mad Angles Achaari Masti,ITC,"Corn grits, edible vegetable oil (palmolein), rice grits, gram flour, spices, salt, sugar, flavour enhancers (INS 621, INS 627, INS 631), acidity regulators, colours (INS 160c)",CONFIRMED_INDIA_890,HIGH,KEEP,Brand Official Publication,User-submitted,API/CSV Import
8901777960042,Vadilal Bomber,Vadilal,"Toned milk, sugar, cocoa solids, edible vegetable oil, stabilizers, emulsifiers, colours (INS 124)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906080349652,"Murmura, Kurmura",Vijay,"roasted rice, salt",CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8904288612028,Mixed pickles,Tops gold,"mixed vegetables - 64% (mango, lime, green chilli, carrot, turnip, dela, cauliflower, ginger, lotus stem), iodised salt, mustard oil, fenugreek, acidity regulators (ins 330, ins 260), aniseed, red chilli powder, lime juice, preservative (ins 211), spices & condiments, turmeric powder.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906006783362,Lion Qyno Dates,Lion,Dates,CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901808000068,Weikfield,Weikfield,Verify specific product,CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8908016386168,Desi Khand (Natural Sweetener),Bebe™,concentrated sugarcane juice,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8908012586104,Raw Peanut,My kitchen,"<span class=""allergen"">peanut</span>",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8905632021107,spoton jucie,"RMHA,Spoton","water, mango pulp, sugar acidity regulator(330) sodium citrate(e331) antioxidant (300) contains permitted class ii preservatives (211,e224) contains permitted synthetic food colours (e 110,e 102) and added flavours (natural, nature identical and artificial flavouring substances)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901440031017,Eastern Mango Pickle,Eastern,"Raw mango, salt, spices, edible vegetable oil, acidity regulator",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8908001105590,on1y fenugreek leaves,on1y,dried fenugreek leaves,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906010500047,Balaji Wafers Masala Masti,Balaji,"Potato, edible vegetable oil, spices, salt, sugar, flavour enhancers (INS 621), acidity regulators, colours (INS 160c)",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8904045820055,Pappad,Kamadhenu,"black gram, salt",CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8904132953437,Campa lemon flv can,,"carbonated water, sugar, acidity regulators (330, 331iii), preservative (211), nature identical flavouring substances",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8908012784098,Gopi Makai poha,Gopi,processed maize & lodized salt,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8901529000880,H. Nandan Roti kip masala,H. Nandan,"koriander, kurkuma, komijn, mosterdzaad, fenegriek, zwarte peper, gember, venkel, uienzaad, tomatenpoeder, knoflook. kan sporen van selderij en sesam bevatten.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906058611194,Oats,Gaia,"<span class=""allergen"">oats</span>",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906153561080,Badam Flavoured Milk,Nandini,"milk solids, sugar, stabilizers (ins 460, ins 466, ins 407), ins 102, ins 110, 
allergen advice: contains <span class=""allergen"">milk</span>",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901512924001,Sundrop cocoa nut,Sundrop,"sugar, refined palm superolein oil, hazelnut paste, milk solids, cocoa solids, maltodextrin, emulsifier, nature identical flavour, hydrogenated vegetable oil",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906040412976,Soya Chunks,Pushp,"<span class=""allergen"">soya flour</span>",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904221695873,Atom Creatine Monohydrate,Atom,"creatine monohydrate (micronized), acidity regulator 330, sucralose,",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904057397705,Hatsun Chassis Butter Milk,Hatsun,"milk solids, processed water, iodized salt & starter culture.",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8908014480080,Bovonto,Kali Mark,"carbonated water, sugar, colour (ins 150d, ins 122, ins 102, ins 124, ins 133), natural, nature identical & artificial flavouring substances, acidity regulator (ins 330), preservative (ins 21.1), sweetener (ins 955).

contains no fruit juice or pulp.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8908015692147,Coconut Water,Coco Charge,"tender coconut water(100%), bio-preservative (ins 234)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904063208279,Aloo Achari Paratha,Haldiram's,"potatoes (40%), whole wheat flour (38%), refined sunflower oil, mix pickle - (8%) (raw mango, lime, chillies, ginger, carrots, salt, vegetable oil, ground & whole spices (fenugreek, mustard seeds, turmeric, chilli, fennel, nigella seeds and coriander), asafoetida & acidity regulator (e260)), water, salt, coriander leaves, fennel, red chilli, coriander seeds, cumin and <span class=""allergen"">mustard</span>.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906058380427,Tholoor mango pickle,,"cut mango , salt, red chilly, gingelly oil, mustard, fenugreek, asafoetida, curry leaves, synthetic vinegar,  benzoic acid",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906021062466,Molsi's Cashew Pepper Dry Roasted,Molsi's,"cashew nuts, pepper & salt",CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8903553002809,Tempting Tomato Ketchup,Temptin,"water, sugar, tomato paste (28°b) 24.7%, edible common salt, acidity regulator acetic acid (ins 260), emulsifying & stabilizing agent (ins 1422 & ins 415), onion powder, garlic powder, mixed spices (clove, cinnamon, chilli) preservative sodium benzoate (ins 211). contains permitted class ii preservative (ins 211). tomato ketchup nutritional information a l n slu d per (100g) - per serve 1 tbsp (15g) % rda per serve energy value (kcal) 150 02 f",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906020581876,High Protein Paneer,iD,"<span class=""allergen"">milk</span>, lemon concentrate.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901745100012,RKG Pure Cow Ghee,RKG,cow's milk fat 99.9%,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906153883892,Two Brothers Thandai Drink Mix,Two Brothers,"cashew nut (33.22%), almond (33.22%) sauf (8.31%) melon seeds (7.47%) pistachio (5.23%) poppy seeds (4.15%) black pepper (3.32%) rose petals (1.66%) cardamom (1.00%) saffron (1.00%) white pepper (0.83%) nutmeg (0.58%)",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906108192475,Korean Chicken Momos,Licious,"momo-chicken (46%), refined wheat flour (maida), water, onion (7%), soy sauce (4.2%), coriander (2%), ginger, garlic, seasoning (1.7%), vinegar, brown sugar, sunflower oil, lodised salt, red chilli, sesame oil, wheat gluten, flavour enhancer (ins 627 & ins 631), milk solids, gelling agent (ins 407), emulsifier (ins 451(i)), spice extract, natural color (ins 150a & ins 160c(i)), acidity regulator (ins 262(i)), thickener (ins 415).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906126830007,Refined Sunflower Oil,Hello Life,"refined sunflower oil, permitted antioxidant tbhq (e319), vitamin a, vitamin d and antifoaming agent dimethyl polysiloxane dmps (e-900)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906010502232,Balaji wafers panjabi tadka,Balaji,"edible vegetable oil (palmolein, rice bran), potato flakes (23%), chickpea flour (19%), moth bean flour, starch, black salt, edible common salt, sugar, dehydrated vegetable powder onion garlic, spices & condiments (chilli, dry mango, cumin, coriander turmeric, nutmeg, mace), milk solids (<span class=""allergen"">whey</span>) (0.06%), hydrolyzed vegetable protein (<span class=""allergen"">soya</span>), acidity regulator (ins 296, ins 330 anticaking agent (ins 551), flavour enhancer (ins 627, ins 631 tural & nature identical flavouring substances (chilli, cumin",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901262493215,Paneer Fresh,Various,"Milk solids, citric acid",CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8904083600527,Frankie Masala,Kapol,"Spices (chilli, asafoetida, turmeric)",CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906216141280,Raw Peanuts,Unknown Brand,Peanuts,CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906161391570,Crunchy Party Mix,Let's Try,"edible vegetable oil (refined groundnut oil), chick peas (30%), <span class=""allergen"">peanuts</span> (20%), chana dal (10%), green peas (10%), chickpeas pulse flour, potato, starch, *spice and condiments (red chilli powder, cumin powder, white pepper powder, black pepper powder, dried mango powder, cardamom powder, clove powder, nutmeg powder, mace powder, star anise powder, mint powder and asafoetida), lodised salt and acidity regulator (ins 330). * used as natural flavouring agent. allergen information:contains <span class=""allergen"">peanut</span>.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906097599712,Reload Instant Electrolytes,Fast&Up,"acidity regulator (ins 330), anticaking agent [ins 421), sodium bicarbonate, potassium chloride, acidity regulator [ins 296], natural lime & lemon flavour, sodium carbonate,  magnesium carbonate, ascorbic acid (vitamin c), calcium carbonate, anticaking agent (552),, sweetener [ins 955], stabilzer [inss 1201], anticaking agent [ins 551] ,cyanocobalamin (vitamin b12).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901826903105,Pio' -  Badam,Verka,"milk solids,sugar,contains permitted synthetic food colors(e102,e122,e127,e133) added artificial almond flavour.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906036675750,Nandini GoodLife Plus Toned Milk 1ltr,Nandini,"milk solids, vitamin a & vitamin d milk fat: 3.0% (min) & snf: 8.5% (min)",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906112996212,High Protein Bread,Protein Chef,"whole wheat flour (atta), high protein blend (<span class=""allergen"">soya flour</span>, peanut flour), vital wheat gluten, broken wheat, vinegar, yeast, iodised salt, sugar, refined sunflower oil, bread premix, bread improver.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901826224002,Kheer,Verka,"milk solids, sugar, rice & cardamom, contains permitted class ii preservative (e 211)",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8904083311010,Shredded Mozzarella Cheese,Milky Mist,"pasteurized milk, microbial culture, microbial enzyme, iodized salt.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901821006047,Tomato Ketchup,Druk,"tomato puree, sugar, salt, acetic acid e260, onion powder, spices, garlic powder, emulsifying and stabilizing agent e466",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901063146938,Winkin' Cow Bourbon Shake,Britannia,"Toned milk, sugar, cocoa solids, artificial chocolate flavour, stabilizers (INS 466, INS 407), emulsifier (INS 471), colour (INS 122)",CONFIRMED_INDIA_890,HIGH,KEEP,Brand Official Publication,User-submitted,API/CSV Import
8904083306047,Curd,Milky Mist,pasteurized toned milk & active lactic culture.,CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8908005733331,Kesar Kulfi,WhiteCub,"coconut cream, soy milk, sugar, cardamom powder, saffron, permitted emulsifier, stabilizers, nature-identical flavour",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906080604300,zero sparkling cranberry lime,paper boat,"carbonated water, sweeteners (968, 955), flavours (natural and nature - identical flavouring substances), acidity regulators (330, 331, preservative (211), iodised salt, food colours (129, 122, 133).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904092498023,Pizza Bread,Kabhib,"Whole wheat flour, refined wheat flour, yeast, palm oil, sugar, iodised salt, colour (INS 150d), gluten, permitted preservative (INS 282), soya flour, flour treatment agent (E1100), flour treatment agent (E1104), flour treatment agent (E1102), flour treatment agent (E510), acidity regulator (INS 260)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906135093141,Honey From The Honey Specialist Squeezy,qpis,honey (multifloral honey),CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8904089301497,Matka Kulfi,Havmor,"ice cream (98.3%): milk solids, sugar, emulsifier (ins 471) and stabilizers (ins 412, ins 401, ins 466, ins 410, ins 415, ins 407). topping (1.7%): sauce (1.1%) [sugar, liquid glucose, added water, stabilizers (ins 401, ins 466, ins 407), nature identical (saffron) flavoring substances, saffron (&lt;0.01%), synthetic food colours (ins 110, ins 102)], <span class=""allergen"">pistachio nuts</span> (0.5%), <span class=""allergen"">almonds</span> (0.1%).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901262030403,Pure Cow Ghee,Amul,99.7% anhydrous milk fat (from fresh cow milk cream),CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906120100663,Himalayan Salt Makhana,Farmley,"foxnut (makhana), olive oil, rock salt.",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8901246007018,demonte ketchup,,"sugar, water, liquid glucose, cocoa powder (8.5%), malt extract, acidity regulator pall with a slice of cake. mkt. by:del monte foods pvt. ltd., (ins 30), preservative (ins 202), lodized sale; thickener (-2, first floor plot no.-16, udyog vihar ins 415) and nature identical flavouring substance. allergen: contains wheat & barley",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906135070227,Jowar Millet Flakes,nativefoodstore,jowar millet flakes,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906159751089,Nabati Richeese Cheese Wafer,Nabati,"<span class=""allergen"">cream</span> (sugar, refined palm olein, cheese powder (sugar, cheese solids (3.5%), maltodextrin, colours (ins 110, ins 100(i))), maltodextrin, <span class=""allergen"">milk powder</span>, corn starch, emulsifier (ins 322), acidity regulator (ins 330)). wafer sheet (refined wheat flour (maida), refined palm olein, flour treatment agent (ins 1101 (i)), lodized salt, raising agent (ins 500(ii)), emulsifier (ins 322)). numbers in the bracket as per international numbering system allergen: contains <span class=""allergen"">wheat</span>, <span class=""allergen"">milk</span> and <span class=""allergen"">soya</span>",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8908000339446,Instant Premix Original,KarakTea,"Sucrose, milk powder, tea extract, maltodextrin",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901030535895,Bru Instant Coffee,Bru,"instant coffee-chicory mixture 
coffee 70% 
chicory 30%",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906117361428,Taaza Paneer,Country Delight,pasteurized milk and lemon concentrate (0.43%),CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906027122782,soya sauce,SAMS,"water, soya bean extract, caramel (e-150c), salt, acidity regulator (e-260), thickener (e-415), permitted class ii preservatives",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904474001827,Whole Wheat Brown Bread,Bonn,"whole wheat flour - atta (53.83%), water, <span class=""allergen"">gluten</span>, edible sunflower oil, yeast, sugar malt extract, salt, fermented whole wheat flour and <span class=""allergen"">soy flour</span>.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901725000042,Tedhe Medhe Cocktail Mix,BINGO,"peanut (29.5%), peas dry (27.1%), kabuli chana (26.5%), *edible vegetable oil and seasoning (spices and condiments, iodized salt, black salt and natural flavours and natural flavouring substances) and colors[ins 133,ins 100(i)]",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906069403306,VEEBA PEANUT BUTTER UNSWEETENED,VEEBA,roasted peanuts (100.0%).,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906108762418,JBPS Nutra Omega 3 6 9,JBPS Nutra,"soyabean extract, <span class=""allergen"">gelatin</span>, sorbitol, glycerin.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904063259394,Onion bhaji,Haldiram,"onions (50%), chickpeas flour (25%), refined cotton seed oil, coriander leaves, green chilli, fresh garlic, cumin, salt, rice flour, sugar, coriander, carom seeds, red chilli, turmeric, acidity regulator (citric acid-e330) sodium bicarbonate (e500ii) and asafoetida.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901552032711,Soul Amritsari Kulcha,Soul,"refined wheat flour (28%), potato (20%), paneer (<span class=""allergen"">milk</span>) (19%), water, <span class=""allergen"">milk</span>, refined sunflower seed oil, curd (<span class=""allergen"">milk</span>), edible common salt, mixed spices (coriander seeds, cumin, black pepper, cassia, dried ginger, fenugreek leaves, cardamom, red chilli, cloves, nutmeg, edible common salt, mace, compounded asafoetida (<span class=""allergen"">wheat</span>)), ginger, green chilli, sugar, coriander leaves, bakery & industrial margarine (palmolein, palm oil, ricebran oil, sesame oil, water, salt, emulsifying agents - ins 471 & antioxidants - ins 319), <span class=""allergen"">butter</span> (<span class=""allergen"">milk</span>, edible common salt), raising agent (ins 500 (ii)), pomegranate seeds, dry mango powder, black salt, bakers yeast (dried).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8902579001285,Frooti Mix Fruit,Various,"Water, mixed fruit juice concentrate, sugar, acidity regulator, flavours",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8901262070058,Amul Fruit 'N' Nut,Amul,"Cocoa solids, sugar, cocoa butter, almonds (8%), raisins (5%), emulsifiers (322,476), artificial flavouring substances (cocoa, vanilla)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906068764934,Peanut Butter,Golden Crown,"harina de trigo, azúcar, aceites vegetales (aceite de palma, aceite de nabina), jarabe de azúcar moreno, gasificante (bicarbonato de sodio), emulgente (lecitina de soja), sal, canela",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8908023134066,Beetroot chips Mint,Krunchillo,"beetroot (61%), palmolein oil, seasoning [spices & condiments, sugar, refined wheat flour (maida), lodized salt, black salt, acidity regulator (ins 330), tamarind powder, flavour enhancers (ins 627, ins 631), natural & nature identical artificial (tamarind) flavouring substances, hydrolysed vegetable protein (<span class=""allergen"">soy</span>), anti-caking agent (ins 551)]",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
