additive_code,additive_name,functional_class,india_fssai_status,foreign_banned_jurisdiction,why_banned_abroad,why_permitted_or_banned_in_india,risk_tier
INS 133 / E133,Brilliant Blue FCF (Blue 1),Synthetic Triphenylmethane Dye,PERMITTED under FSSAI MPLs,AUTHORISED (ADI 0-6 mg/kg bw/day) | PERMITTED (FD&C Blue No. 1) | PERMITTED under positive list,Triphenylmethane dyes such as Brilliant Blue FCF can cross the blood-brain barrier in animal models and have been studied for both hypersensitivity reactions and neuroprotective properties; FD&C Blue No. 1 demonstrates a strong safety profile among approved synthetic dyes at regulated dietary doses under ADI (0-6 mg/kg bw/day).,"Authorised food color in EU, US, India, Japan with ADI (0-6 mg/kg bw/day). Historical member-state bans harmonised under EU law.",🔴 High Concern
INS 104 / E104,Quinoline Yellow,Synthetic Quinophthalone Dye,PERMITTED under FSSAI MPLs,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food (Drugs/Cosmetics D&C Yellow 10 only) | RESTRICTED,"Associated with contact dermatitis, allergic urticaria, and pediatric hyperkinesis.",Not approved for food use by US FDA; restricted in Japan. Authorised in EU and Australia/NZ (FSANZ) with child activity warning label and ADI 0.5 mg/kg bw/day.,🔴 High Concern
INS 123 / E123,Amaranth (Red 2 Dye),Synthetic Azo Dye,BANNED BY FSSAI,RESTRICTED (ADI 0.15 mg/kg bw/day) | BANNED BY US FDA (1976) | RESTRICTED,Banned by US FDA following rat bioassays showing significant increases in malignant mammary tumors and fetal toxicity.,"Banned by US FDA since 1976 and prohibited in India by FSSAI. (Note: Amaranth whole grain / rajgira is a safe food, not this dye).",🔴 High Concern
INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,PERMITTED under FSSAI MPLs,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
INS 621 / E621,Monosodium Glutamate (MSG),Flavour Enhancer (Glutamate Group),PERMITTED in snacks; PROHIBITED in dried pasta & instant noodles,AUTHORISED (Group ADI 30 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED under positive list,"Dietary MSG does not readily cross the intact blood-brain barrier and is not considered a neurotoxin at typical intake levels by EFSA, FDA, or JECFA. Transient headaches/flushing can occur in sensitive individuals at high empty-stomach doses. Flagged as Moderate Concern for frequent children's snack consumption.",Approved flavour enhancer globally with Group ADI 30 mg/kg bw/day. FSSAI (India) prohibits added MSG in dried pasta/instant noodles but permits it in snacks.,🟡 Moderate Concern
INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,PERMITTED under FSSAI MPLs,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
INS 202 / E202,Potassium Sorbate,Chemical Preservative,PERMITTED under FSSAI MPLs,AUTHORISED with MPLs (ADI 11 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED in specified categories,Exhibits minor mutagenic/clastogenic activity in vitro when reacted with nitrites; localized mucous membrane irritant at elevated doses.,"Fully authorised preservative in EU, US, India, Japan subject to ADI and MPLs.",🟡 Moderate Concern
PHO / Trans Fats,Hydrogenated / Partially Hydrogenated Vegetable Oils,Industrial Synthetic Trans Fat,TRANS FAT CAPPED < 2% of total fat (FSSAI),CAPPED < 2g per 100g fat | PHO GRAS REVOCATION (Effectively Banned) | VOLUNTARY REDUCTION / LABELLING,"Industrial trans fats elevate systemic LDL cholesterol, lower protective HDL cholesterol, calcify arterial endothelium, and cause over 500,000 premature cardiovascular deaths annually worldwide.",US FDA revoked GRAS status for PHOs (banned). WHO-led global elimination campaign; EU and FSSAI cap trans fats < 2% of total fat.,🟡 Moderate Concern
INS 924a,Potassium Bromate,Flour Treatment / Dough Conditioning Agent,BANNED BY FSSAI (2016),BANNED IN FOOD | PERMITTED ≤ 50 ppm in baked goods | PERMITTED at low residual levels (≤ 30 ppm),"IARC Category 2B carcinogen. Induces renal cell tumors, thyroid follicular cell adenomas, and peritoneal mesotheliomas in laboratory animal bioassays.","Banned in EU, UK, Canada, Brazil, China, and India (FSSAI banned in 2016). Still permitted in US and Japan baked goods at low ppm levels.",🔴 High Concern
INS 925 / INS 926 / E927a,Azodicarbonamide (ADA),Flour Bleaching Agent & Foaming Chemical,BANNED BY FSSAI,BANNED IN FOOD | PERMITTED ≤ 45 ppm in flour | BANNED IN FOOD,"Thermal breakdown during baking produces trace semicarbazide (SEM) and urethane, recognized rodent carcinogens and occupational asthma sensitizers.","Banned as a flour treatment agent in EU, UK, Australia, NZ, Singapore, and India. Permitted in US at ≤ 45 ppm. (Note: Palada Payasam 'ada' is a traditional rice/wheat pasta, NOT this chemical).",🔴 High Concern
INS 443,Brominated Vegetable Oil (BVO),Beverage Weighting Agent / Emulsifier,BANNED IN SOFT DRINKS (Since 1990),BANNED IN FOOD (2008) | FDA REVOKED AUTHORIZATION (July 2024) | BANNED IN FOOD,"US FDA revoked regulation due to bioaccumulation of organobromine in human fatty tissue, cardiac fat accumulation, hepatic lesion risk, and thyroid tissue toxicity.","Banned in EU, UK, India (since 1990), Japan, Canada. US FDA permanently revoked authorization in July 2024 (compliance August 2025).",🔴 High Concern
