barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason
8908014480080,Bovonto,Kali Mark,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas",CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
8908014480080,Bovonto,Kali Mark,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas",CAT_14,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
4009900523981,Extra,"Wrigley's Extra,Mars inc","Snacks,Sweet snacks,Confectioneries,Chewing gum",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
8901826903105,Pio' -  Badam,Verka,"Beverages and beverages preparations,Beverages,Dairies,Dairy drinks,Milks,Flavoured milks",CAT_14,Erythrosine (E127),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
8901826903105,Pio' -  Badam,Verka,"Beverages and beverages preparations,Beverages,Dairies,Dairy drinks,Milks,Flavoured milks",CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
0021130266197,Blue Cheese Dressing & Dip,"Signature Kitchens,  Safeway  Inc.",undefined,Unknown,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
0073402357003,Fine chocolate donuts,"Country Kitchen,  Lepage Bakeries  Inc.","Snacks, Sweet snacks, Biscuits and cakes, Cakes",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
0073402357003,Fine chocolate donuts,"Country Kitchen,  Lepage Bakeries  Inc.","Snacks, Sweet snacks, Biscuits and cakes, Cakes",CAT_15,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
8901063146938,Winkin' Cow Bourbon Shake,Britannia,milkshake,CAT_01,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
0021130477432,Whipped Dressing,Safeway Kitchens,undefined,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
8886467100031,Pringles Cheesy Cheese,"Pringles,พริงเกิลส์","Dairies, Fermented foods, Fermented milk products, Snacks, Cheeses, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato, Crispy, Stacked extruded potato crisps",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
5449000311856,Hawaï,"Coca-Cola, Coca-Cola Company","ar:HAWAI, en:fruit-sodas",CAT_14,Quinoline Yellow (E104),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
5449000311856,Hawaï,"Coca-Cola, Coca-Cola Company","ar:HAWAI, en:fruit-sodas",CAT_14,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
9300650452558,Chocolate sandwich cookies with sweet vanilla flavoured creme,Oreo,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8901552032711,Soul Amritsari Kulcha,Soul,Frozen foods,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8909081013737,Strawberry Smoothie,Sunfeast,"Beverages and beverages preparations,Beverages",CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
8901030970238,Choco Brownie Fudge,Kwality Walls,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams",CAT_03,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
7802000021626,Doritos tamaño XS Sabor Queso,Doritos,"Snacks, Botanas, Tortilla chips",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
0028000500313,Beef flavor bouillon,Maggi,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
0028000500313,Beef flavor bouillon,Maggi,,Unknown,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
8904422710894,Refined Sunflower Oil,Sunrich,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Sunflower seeds and their products,Sunflower oils",CAT_14,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
2220251241818,M&M's biscuit,"M&M's, M&M's Biscuit, Mars","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Biscuits et gâteaux, Confiseries chocolatées, Biscuits, Bonbons de chocolat, Biscuits au chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
9347043001498,Chocolate wafer cone,Oreo,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
9300650452763,OREO CKIE CHOC 128GM,Oreo,en:filled-biscuits,CAT_07,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
5000159484589,M&M's Chocolate,"M&M's, Mars","Imbiss, Süßer Snack, Kakao und Kakaoprodukte, Schokoladen, Milchschokoladen, Schokolinsen",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
7802420009198,Corte Americano,Lays,"Snacks, Papas fritas",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
9300650453685,Oreo double stuff inspired by pascall marshmallows,Oreo,Biscuits,CAT_07,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8901491002561,Dynamita,Doritos,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
5000159518819,Glaces m&m's,"M&M's, Mars Chocolat France","Surgelés,Cônes et batonnets surgelés,Bâtonnets glacés",Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
8906069612371,Jolliz Namkeen Cream Onion Chips,Anand,Namkeen,CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8906154670156,Tomato Pickle,Kh Pickle,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
5000159480178,M&M's Chocolate,"M&M's, Mars","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5000159501903,M&M's,"Nestlé, Mars","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, Fruits à coques enrobés de chocolat, Cacahuètes au chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5000159505802,M et m’s,"Mars, Mars Chocolat","Imbiss, Süßer Snack, Kakao und Kakaoprodukte, Süßwaren, Schokoladenkonfekt, Pralinen, Mit Schokolade überzogene Nüsse, Erdnüsse mit Schokoladenüberzug",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
6924743933460,Crispy Meat Flavoured Chips,Lays,Potato crisps,CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8902082805004,Grape Squash,Grandma's,squash,CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
8902082805004,Grape Squash,Grandma's,squash,CAT_14,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
8906159751102,Nabati Pink Lava Cream Wafer Biscuits,Nabati,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Wafers, en:stuffed-wafers",CAT_15,Erythrosine (E127),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
0074714085523,Croutons,Mrs. Cubbison's Kitchen  Llc.,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8886467100369,Pringles Sour Cream And Onion,Pringles,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato, Stacked extruded potato crisps",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
5900951253041,M&m's Easter limited Edition Peanut,"M&M's, Mars","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, Fruits à coques enrobés de chocolat, Cacahuètes au chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5900951259692,m&m's Mix,"Mars,m&m's","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
0040000247234,"Snickers, minis, dark chocolate, peanuts, caramel, nougat",Snickers,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies",CAT_15,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
6009510802542,Doritos sweet chili pepper 45g,"Doritos, Simba","Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
6009510802542,Doritos sweet chili pepper 45g,"Doritos, Simba","Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips",CAT_15,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
9300650452404,Oreo Neapolitan double stuff,oreo,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Filled biscuits,Biscuit cream",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
7802000005541,Twistos,pepsico,en:crisps,CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
7771224008921,Bambino Pasas al Ron,"Delizia,Bambino","Postres, Congelados, Postres helados, Helados y sorbetes, Helado, Tarrinas y bloques de helado, Tarrinas y bloques de helado de ron con pasas",CAT_03,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
7501008082843,Barras de cereal Kellogg's Zucaritas,Kelloggs,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Desayunos, Cereales y patatas, Snacks dulces, Cereales y derivados, Barritas, Cereales para el desayuno, Barritas de cereales",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5449000060082,Twist Lemon,The Coca-Cola Company,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Boissons édulcorées, Sodas, Sodas aux fruits, Sodas au citron, Boissons avec sucre ajouté",CAT_14,Quinoline Yellow (E104),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
7501008013007,Zucaritas Barra,Kelloggs,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Desayunos, Cereales y patatas, Snacks dulces, Cereales y derivados, Barritas, Cereales para el desayuno, Barritas de cereales",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
8901662037828,CHICKEN BIRYANI MIX,Suhana,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8901393025002,mentos,,,Unknown,Erythrosine (E127),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
6009710721490,Cheese supreme flavored corn chips,Doritos,"Snacks-and-chips,Corn chips",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8851959122174,Fanta Jordbær,Coca-Cola Company,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Carbonated drinks,Fruit-based beverages,Sodas,Fruit sodas,Sweetened beverages",CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
7802000021084,Doritos tamaño XS Sabor Queso,Doritos,"Snacks, Botanas, Tortillas de maíz",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8886467100376,Cheesy cheese,Pringles,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato, Stacked extruded potato crisps",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
5449000229243,Next joy visnja,Coca-Cola,,Unknown,Brilliant Black BN (E151),Additive (INS/E-Code),"IN, JP, US","Banned in IN, JP, US according to additive rulebook. Functional Class: Additive."
9556001170842,FUSIAN Mi Goreng Hot & Spicy Mild,Maggi,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
5000159317955,m's PEANUT,"Mars, m&m's","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, en:Chocolate covered nuts and fruits, Fruits à coques enrobés de chocolat, Cacahuètes au chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
6001068660902,2 Minutes Noodles Durban Curry Flavour,"Maggi,Nestlé","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Dried products, Pastas, Dried products to be rehydrated, Noodles, Instant noodles",CAT_14,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8906006721555,Mixed Fruit Jam,Lion,,Unknown,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
9300617292791,Humpty Dumpty,Cadbury,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5900951264672,Chocolate,"Mars Incorporated,m&m's","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons,Süßer-snack,Süßwaren",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
7501008010105,Rice Krispies Treats Sabor Original,Kellogg's,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Cereales de chocolate",CAT_14,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
6009510802559,CHEESE SUPREME FLAVOURED CORN CHIPS,Doritos,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
4009900510813,Skittles,Mars,en:candies,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
9300650454248,Oreo Grab And Go 236g,Oreo,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
0760263000642,"Bear creek country kitchens, soup mix, hot & sour",Bear Creek Country Kitchens,"Meals, Soups",CAT_12,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
0760263911108,Alfredo Pasta Mix,Bear Creek Country Kitchens,"Meals, Pasta dishes",CAT_06,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
8906021921497,Mixed Fruit Jam,Apis,en:fruit-jam,CAT_04,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
0028000867379,"Crispety, crunchety, peanut-buttery! bar",Nestlé,"Snacks, Sweet snacks, Confectioneries",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
0088009150452,Fanta orange,"Brasserie de tahiti,coca-cola compagny","Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Sodas, Sodas aux fruits, Sodas à l'orange, Boissons avec sucre ajouté",CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
0040000473480,"Snickers, milk chocolate hearts, creamy caramel and peanuts",Snickers,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies",CAT_15,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
8908019726442,Choco Pockets,Nova Nova,snacks,CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
6009710723586,GRILLED BARBEQUE FLAVOURED CORN CHIPS,Doritos,,Unknown,Quinoline Yellow (E104),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
6009710723586,GRILLED BARBEQUE FLAVOURED CORN CHIPS,Doritos,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
6009710723586,GRILLED BARBEQUE FLAVOURED CORN CHIPS,Doritos,,Unknown,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
6009710723586,GRILLED BARBEQUE FLAVOURED CORN CHIPS,Doritos,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
8904146307851,Muesli,Spar,,Unknown,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
8904146307851,Muesli,Spar,,Unknown,Erythrosine (E127),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
8904146307851,Muesli,Spar,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
5000159476782,M &M'S Peanuts Boule De Noël 45G,Mars,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5000159481540,M&M's Peanut,"M&M's, Mars","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Aliments festifs, Confiseries chocolatées, Bonbons de chocolat, Fruits à coques enrobés de chocolat, Aliments de Pâques, Cacahuètes au chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5000159493833,M&M's peanut,Mars,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons, Chocolate covered nuts, Chocolate-covered-peanuts, en:chocolate-coated-peanuts",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
8710398170156,Doritos Cool American,Doritos,"Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de maïs",CAT_15,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
7622210551290,Chocolate Sandwich Cookies with Vanilla Flavored Cream,OREO,en:biscuits,CAT_07,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
9300617408390,Humpty Dumpty,Cadbury,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
7501059233584,Svelty Figura 0% sabor a moras silvestres,Nestle,"Beverages, Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Dairy drinks, Fermented dairy desserts, Artificially sweetened beverages, Fermented dairy desserts with fruits, Fermented drinks, Yogurts, Fermented milk drinks, Fruit yogurts, Drinkable-yogurts, en:yogurt-drinks",CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
5000159441896,M &M'S 1KG Choco Maitosuklaata Rapealla Sokerikuorella,"M&M'S,Mars inc","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5000159500371,Chocolate M & M's Ice Cream,Mars,"Desserts, Surgelés, Desserts glacés, Glaces et sorbets, Glaces, Bâtonnets glacés",CAT_03,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5000159500654,Glaces Peanut M&M's,"M&M's, Mars, Mars Chocolat","Snacks, Desserts, Snacks sucrés, Confiseries, Surgelés, Desserts glacés, Glaces et sorbets, Glaces, Bâtonnets glacés, Bâtonnets glacés au chocolat",CAT_03,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
8908022793011,Rose Syrup,Janatha,Rose syrup,CAT_14,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
9300682050685,M&M’s Minis,"M&Ms, Mars",,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
7613287067449,Stir-fry noodles sweet chili,Maggi,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8906026504985,Cream Roll,Nafees,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
9556001137678,Oriental Maggi Orientation Noodles,Maggi,"Plant-based foods and beverages, Plant-based foods, Dried products, Pastas, Dried products to be rehydrated, Noodles, Instant noodles",CAT_14,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
8906008819502,Refined Soyabean Oil,Fortune,,Unknown,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
0747804019059,Ham & Cheese Sandwich,Kitchen Fresh Foods,"Sandwiches, Sandwiches filled with cold cuts, Cheese sandwiches, Ham sandwiches, Ham and cheese sandwiches",CAT_01,Azodicarbonamide (ADA) (E927A),Additive (INS/E-Code),"EU, UK","Banned in EU, UK according to additive rulebook. Functional Class: FLOUR_TREATMENT_AGENT."
