barcode,product_name,brands,ingredients_text
709358,Patanjali Chyawanprash,Patanjali,a (withenia somnilera) 450 mg yd (glycyrhiza glabra 45 mg पिपला मूल (pिper longum) wrara (asparagus racemosus) oioneach 10g contains yod phaeslus trbulus) id wit por ongum) wd (eamus abialis) woyt paotaca integerima) hen phylanthus niruri) m vits vintera) ded (upade ia reticulate) m (leminalia chebul aadw (inospora cordifonay xit (habenaria intermedia) dve (malaxis acurminate) (curcuma zedoaria) नागरोथा (cyperus rot 45 mg 55 mg q piper retrofiractum) 45 mg वित्रक मूल (plum n doylanica) 45 mg सोंठ (iinglber i 45 mg वराहीकंद (dlog bubler) 25 mg आंवला पिष्टी (b m oficinal) 45 mg घृत (ghee) 45 mg (saccharum officinarum) 45 mg प्रक्षेप द्रव्य (processed with) . 45 mg वंशलोचन ( bambusa arundinacead)। 45 mg 46 tmg दालचीनी (cinnamomum 29ylonol) 45 mg 20m 20mg 20mg 20 mg 29 पिप्पली छोटी (piper longum) (boerhaavia dif fusa) aa (polygonatum cirrhifolium) hatewa (nymphaea nouchall) वितारीकंद (puraria tuberosa) (adhatoda vasica) bolat (roscoea alpine) ww (martynia diandra) तेजपत्र (ciname tamala) नागकेशर (messh te १) केशर (crocus sativue) 45 mg ag (elletaria cardamomum) 45 mg 45 mg 215mg 25 m 10 mg 45 mg 45 mg अश्रकभस्म (calcined mica) it (syzygium aromaticum) काली मिर्च (plper nigrum) गोदंती भर्म (calcined calcium sufpthaty 10y 90 mg 45 mg 45 mg mfg. lic. no. net weight uttra/ayu-181/2009 1 kg 1 किलो ग्राम शुदध मात्रा batch no. ीप राखा 890602i8831914 manufacturing date ficz ep aug
2020215,Nutella,Ferrero,"pâte à tartiner aux noisettes et au cacao  :sucre, huile de palme, noisettes 13%, lait écrémé en poudre 8,7%, cacao maigre 7.4% émulsifiants :lécithines [sojal; vanilline. sans gluten"
110327,peanut m&ms,"M&Ms,Wrigley,Mars","milk chocolate (sugar, chocolate, skim milk, cocoa butter, lactose milkfat, <span class=""allergen"">peanuts</span>, <span class=""allergen"">soy lecithin</span>, salt, artificial and natural flavors), sugar, <span class=""allergen"">peanuts</span>, cornstarch, less than 1% - palm oil, corn syrup, dextrin, coloring (includes blue 1 lake, red 40, yellow 6, yellow 5, blue 1, red 40 lake, yellow 6 lake, yellow 5 lake, blue 2 lake, blue 2). carnauba wax, gum acacia"
25286700634088169215214711,"California Pizza Kitchen, Dakota Smashed Pea & Barley Soup, Cup",California Pizza Kitchen,undefined
719973756439596720723090,"California Pizza Kitchen, Hand Shaken Agave Mojito",California Pizza Kitchen,undefined
3151651,Bonna 0-6,,"<span class=""allergen"">milk</span>"
988639,"Nutella, hazelnut spread with cocoa, hazelnut","Ferrero,Nutella","sugar, palm oil, <span class=""allergen"">hazelnuts</span>, cocoa, skim milk, <span class=""allergen"">whey</span> (<span class=""allergen"">milk</span>), lecithin as emulsifier (<span class=""allergen"">soy</span>), vanillin: an artificial flavor."
1346604,Tomato Ketchup,Heinz,"tomato concentrate from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring,"
6814718048903624,"California Pizza Kitchen, Hand Tossed Original Crust",California Pizza Kitchen,undefined
43480914173879220353,"California Pizza Kitchen, Hearth Roasted Halibut",California Pizza Kitchen,undefined
24,Nutella,NUTELLA,"pommes séchées - dried apple* origine: autriche - origin: austria ce produit provient d'une fabrique où les noix, cacahuètes, sésame, blé et gluten sont utilisés. this producti 024"
61759346880760214928,"California Pizza Kitchen, J Lohr Seven Oaks Cabernet Sauvignon, 9 Oz",California Pizza Kitchen,undefined
1357901,Hamburger Dill Chips,Heinz,"pickles (cucumbers, salt, alum), water, distilled white vinegar, salt, calcium chloride, potassium sorbate (preservative), alum, natural flavoring, polysorbate 80, fd&c yellow # 5."
671233294302978672808,"California Pizza Kitchen, Lemonade, Kids",California Pizza Kitchen,undefined
5574315,Nutella,Ferrero,"palmöl,zucker,fettreduzierter kakao,magermilchpulver,haselnuss,soja,vanillin"
8462536641492892535,"California Pizza Kitchen, Meiomi Pinot Noir, 6 Oz",California Pizza Kitchen,undefined
975070664679881507941465,"California Pizza Kitchen, Moscow Mule",California Pizza Kitchen,undefined
1256808,"Pepsi Cola, 12 Fl Oz,","Pepsi,Pepsi-Cola,Pepsico","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, natural flavor."
142074784491852047630,"California Pizza Kitchen, Passion Fruit Mango Iced Tea",California Pizza Kitchen,undefined
460004434159416066179598,"California Pizza Kitchen, Pesto Cream Penne",California Pizza Kitchen,undefined
75117896466178413458,"California Pizza Kitchen, Sangria Flight",California Pizza Kitchen,undefined
932719844811088049,"California Pizza Kitchen, Coca Cola, 12 Oz",California Pizza Kitchen,undefined
6792402,Zero Sugar Cola Mini Bottles,Coca-Cola,"carbonated water, caramel colour, phosphoric acid, aspartame (phenylalanine), potassium benzoate, natural flavour, potassium citrate, acesulfame-potassium, caffeine."
4390903,Liquid water enhancer,Heinz,"water, citric acid, malic acid, caffeine, contains less than 2% of taurine, guarana extract, ginseng extract (panax), niacinamide (vitamin b3), vitamin b6, vitamin b12, natural flavor, sucralose and acesulfame potassium (sweeteners), sodium citrate, potassium citrate, gum arabic, sucrose acetate isobutyrate, yellow 5, red 40, potassium sorbate (preservative). kraft heinz foods company chicago, il 60601 (800) 431-1002 does not need refrigeration see bottom for best by date xaw 3165"
424483174604363247156946,"California Pizza Kitchen, Santa Margherita Pinot Grigio, Bottle",California Pizza Kitchen,undefined
14609488876312882121,"California Pizza Kitchen, Spinach Artichoke Dip",California Pizza Kitchen,undefined
37502697944629070982149844,"California Pizza Kitchen, Waldorf Chicken Salad, Full",California Pizza Kitchen,undefined
41359594998175741,"California Pizza Kitchen, Wild Mushroom Pizza",California Pizza Kitchen,undefined
4978903,Coca-Cola,"Coca-Cola Company,Coca-Cola","carbonated water, high fructose corn syrup caramel color, phosphoric acid, natural flavors, caffeine"
6692830498392398442,"California Pizza Kitchen, Wild Mushroom Strozzapreti",California Pizza Kitchen,undefined
8842684059860255522,"California Pizza Kitchen, Colby Red Blend, 6 Oz",California Pizza Kitchen,undefined
634419944193154675867,"California Pizza Kitchen, Apothic Winemakers Blend, 9 Oz",California Pizza Kitchen,undefined
7499092149378000268,"California Pizza Kitchen, Cha Cha Agua Fresca",California Pizza Kitchen,undefined
153426742987825440,"California Pizza Kitchen, Chateau Ste Michelle Riesling, Bottle",California Pizza Kitchen,undefined
2021993247803677583930,"California Pizza Kitchen, Chicken & Shrimp, For Garlic Cream Fettuccine",California Pizza Kitchen,undefined
91009900418585823715,"California Pizza Kitchen, Classic Caesar Salad, Full",California Pizza Kitchen,undefined
969119213484367713417,"California Pizza Kitchen, Colby Red Blend, Bottle",California Pizza Kitchen,undefined
9156441094063758145078,"California Pizza Kitchen, Le Grand Courtage Brut, Split",California Pizza Kitchen,undefined
27890604684108815450,"California Pizza Kitchen, Mushroom Pepperoni Sausage Pizza, 7&quot;",California Pizza Kitchen,undefined
364533741719129012989017,"California Pizza Kitchen, Roasted Artichoke & Spinach Pizza, 1 Slice",California Pizza Kitchen,undefined
593145931479150597,"California Pizza Kitchen, Rodney Strong Cabernet Sauvignon, Bottle",California Pizza Kitchen,undefined
379560057842616999239,"California Pizza Kitchen, Salad, Kids",California Pizza Kitchen,undefined
15107372164227524107262502,"California Pizza Kitchen, Santa Julia Organica Cabernet Sauvignon, 6 Oz",California Pizza Kitchen,undefined
31947468438192184629001,"California Pizza Kitchen, Smashed Chicken Meatball Piadina Half",California Pizza Kitchen,undefined
394700040348670448943,"California Pizza Kitchen, Super Spinach & Quinoa Salad",California Pizza Kitchen,undefined
3358394697050024,"California Pizza Kitchen, The Mediterranean Salad",California Pizza Kitchen,undefined
57445882346898029552114,"California Pizza Kitchen, Tomato Basil Bisque, Bowl",California Pizza Kitchen,undefined
473571943539306139165981403260,cashew,,
6402213,Corn flakes crumbs,"Kellogg’s, Kellogg","maïs moulu, sucre, extrait de maïs et d'orge maltée, sel, colorant, bht, vitamines et minéraux : fer, niacinamide, chlorhydrate de thiamine, d-pantothénate de calcium, chlorhydrate de pyridoxine, acide folique. contient des ingrédients de l'orge. peut contenir du soya. 3, sugar sucre importé par kellogg canada inc. mississauga, ontario l4w 5s1"
5730704,Chili Sauce,Heinz,"tomato paste, water, sugar, vinegar, salt, onion, garlic, spices (mustard), natural flavours"
7612044247019678276178,"California Pizza Kitchen, Freshly Brewed Iced Tea, Mango",California Pizza Kitchen,undefined
3420138469120127419,"California Pizza Kitchen, Freshly Brewed Iced Tea, Peach",California Pizza Kitchen,undefined
15741,Supreme Harvest Indian Raisins,Supreme Harvest,raisins
4914622954402100349829,"California Pizza Kitchen, Freshly Brewed Iced Tea, Raspberry",California Pizza Kitchen,undefined
6841113,Mayonnaise,Heinz,"vegetable oil, water, liquid whole egg, vinegar, liquid yolk, sugar, salt, seasoning, calcium disodium edta. contains: egg. 0684111 3 ingrédients: huile végétale, eau, ceuf entier liquide, vinaigre, jaune d'œuf liquide, sucre, sel, assaisonnement, edta de calcium disodique. contient : ceuf. 04050036599800 kraft heinz canada, toronto, on m5j 1a7 1-877-57heinz (1-877-574-3469) product of u.s.a./produit des é.-u."
8817961577407830701749212,"California Pizza Kitchen, GF Margherita Pizza, 1 Slice",California Pizza Kitchen,undefined
539743961072447711,"California Pizza Kitchen, La Crema Pinot Noir, 9 Oz",California Pizza Kitchen,undefined
924011201059002655,Cashew,Nesto,cashew nuts
890075490423064751093,"Joe's Crab Shack, Orange Juice, Kids",Joe's Crab Shack,undefined
5751008,Tomates Soupe Condensée,HEINZ,"water, tomato puree, <span class=""allergen"">wheat flour</span>, sugar, salt, soybean oil, spices (<span class=""allergen"">mustard</span>), onion, citric acid."
26020,TGF Khatta Meetha,Truly Good Foods,"edible vegetable oil (palmolein oil, cottonseed oil), sugar (16%), rice flakes (13%), besan, dried green peas (5%) <span class=""allergen"">peanut</span> (5%), lentils (4%), edible starch, sago (3%), rice flour, lodized salt, spices & condiments and acidity regulator (ins 330)."
7591204008400553023,Kinder Maxi King,"Ferrero, Kinder","le cacao, sucre, lait en poudre, pâte de cacao, émulsifiants: écithines [soja], arômes), lait frais pasteurisé 14,5%, sucre, caramel 11% (lait concentré sucré, sucre, noisette, huile de palme, arômes), noisettes 10,5%, huile de palme, lait écrémé en poudre 5,5%, farine de froment, beurre concentré, farine de riz, amidon, émulsifiants (mono et diglycérides d'acides gras, lécithines [soja]), arômes, sel, poudre à lever: carbonate acide de sodium; épaississant (gomme tara)."
6202246,Kinder Joy,"Kinder, Ferrero","sugar, modified (palm, vegetable) fats, skim cocoa powder, wheat starch, cocoa mass, barley malt extra lecithin, modified sunflower oil, whey proteins, cocoa butte bicarbonate, sodium bicarbonate, salt. contains<span class=""allergen"">: milk</span>, <span class=""allergen"">wheat</span>, soy/g sucre, graisses (de palme, végétale) modifiées, lait écréé en po ble, cacao en poudre, amidon de blé, pâte de cacao, extrait de mat lecithine de soja et/ou de tournesol, huile de tournesol protéines de lactosérum, beurre de cacao, armes, d'ammonium, bicarbonate de sodium, s contient: lall, ble, sala 43 52"
3015221,Toblerone,Toblerone,"sugar, whole milk powder, cocoa butter, cocoa mass, honey (3%), milk fat, <span class=""allergen"">almonds</span> (1.6%), invert sugar, emulsifier (<span class=""allergen"">soy lecithin</span>), egg white powder, flavour. milk chocolate contains cocoa solids 28% minimum, milk solids 14% minimum. allergen statement: contains <span class=""allergen"">milk</span>, <span class=""allergen"">almonds</span>, <span class=""allergen"">soy</span> and <span class=""allergen"">egg</span>. mondelez international, 323 canterbury road, ringwood victoria 3134, australia. consumer advisory service: aus 1800 250 260 www.mondelezinternational.com.au nz 0800 223 2879 www.mondelezinternational.co.nz made in switzerland trade marks of mondelez international group used under licence. www.toblerone.com box"
221034191858666,milk bikis,,milk bikis
2179315,Corn flakes,Kellogg's,"mais, estratto di malto d'orzo, zucchero, sale, niacina, ferro, vitamina b6, riboflavina, tiammina, acido folico, vitamina d, vitamina b12. per gli allergeni vedi ingredienti in grassetto. può contenere glutine da altri cereali."
6017779480819045380,"California Pizza Kitchen, Napa Cellars Sauvignon Blanc, 6 Oz",California Pizza Kitchen,undefined
702513434102930378,"California Pizza Kitchen, Napa Cellars Sauvignon Blanc, Bottle",California Pizza Kitchen,undefined
212973819438769924524,"California Pizza Kitchen, Roasted Garlic Chicken Pizza",California Pizza Kitchen,undefined
4033309451962456611,"California Pizza Kitchen, Sparkling Cranberry Cooler",California Pizza Kitchen,undefined
6744104,Caffeine Free Diet Coke,Coca-Cola,"carbonated water, caramel colour, phosphoric and citric acid, aspartame (phenylalanine), flavour, sodium benzoate, acesulfame-potassium"
1742941,Heinz tomato ketchup,Heinz,"de tomaten ketchup mit zucker und süßungsmittel. &quot;50% weniger zucker und 50% weniger salz als herkömmlicher heinz tomaten ketchup. zutaten: tomaten (174 g pro 100 g tomaten ketchup), branntweinessig*, zucker, salz, gewürz - und kräuterextrakte (enthalten sellerie), süßungsmittel (steviolglycosider), gewürz. *osterreich: weingeistessig. nach dem offnen gekühlt aufbewahren. vor gebrauch gut schütteln. mindestens haltbar bis: siehe deckel. flasche recycelbar und deckel nich recycelbar. o produktionsland: niederlande. fr tomato ketchup avec sucre et édulcorant. *50% de sucres en moins et 50% de sel en moins que le tomato ketchup heinz classique. ingrédients : tomates (174 g pour 100 g de tomato ketchup), vinaigre d'alcool, sucre, sel, extraits d'épices et d'herbes (contiennent du céleri, édulçoranit (glycosides de steviol), épice. a conserver au rétrigérateur après ouverture, bien agiter avant utilisation. a consommer de préférence avant le : voir bouchon. bouteille recyclable, bouchon non recyclable. pays de production: pays-bas. nd tomaten ketchup met suiker en zoetstof. &quot;50% minder suikers en 50% minder zout dan de gewone heinz tomato ketchup. ingrediënten: tomaten (174 g per 100 g tomato ketchup), azijn, suiker, zout, specerij - en kruidextracten (bevatten selderij), zoetstof (steviolglycosiden), sspecerij. na openen gekoeld bewaren. goed schudden voor gebruik. ten minste houdbaar tot zie dop. fles recyclebaar, dop niet-recyclebaar. at ch hj. heinz gmbh, postfach 14 05 55, 40075 düsseldorf, deutschland. 35570 de bb h.j. heinz belgium nv/sa, posthofbrug 6-8, bus 5/102, 2600 berchem. nl h.j. heinz b.v., postbus 87118, 1080 jc amsterdam. www.heinz.eu e550g-500ml pro/pour/ per 100 g nährwerte/valeurs nutritionnelles/ voedingswaarden energie /energie fett/matières grasses/vet - davon gesättigte fettsäuren / dont acides gras saturės / waarvan verzadigd kohlenhydrate / glucides / koolhydraten 271 kj/"
39529,Organic Long Grain Brown Rice,"Lundberg, Twix",organic long grain brown rice
6213169,Rice kripies,Kellogg's,"riz, sucre, sel, arome de malt d'_orge_. 
vitamines et mineraux: vitamines (niacine, b6, b2, b1, acide folique, d,b12) et fer"
790055,Zucaritas,Kellogg's,"maíz, azúcar, extracto de malta, sal yodada, maltodextrina. vitaminas y minerales: acido ascórbico (vitamina c), niacinamida (niacina), palmitato (vitamina a), hierro reducido, óxido de zinc, cianocobalamina (vitamina b12), colecalciferol (vitamina d), clorhidrato de piridoxina (vitamina b6), mononitrato de tiamina (vitamina b1), riboflavina (vitamina b2), ácido fólico. para mantener la frescura, se ha agregado bht al empaque contiene gluten. el maíz utilizado en este producto contiene trazas de soya."
1345003,Vegetarian Beans,Heinz,"water, prepared beans, tomato paste, brown sugar, sugar, salt, distilled white vinegar, modified food starch, spices, mustard seed, mustard bran, onion powder, garlic powder, paprika, turmeric."
1364008,Tomato Ketchup,Heinz,"tomato concentrate from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring,"
6789505,Coca-Cola Stevia,Coca-Cola,"carbonated water, caramel colour, stevia extract, phosphoric acid, potassium benzoate, natural flavour, caffeine, citric acid, malic acid. eau gazeifiee, colorant au caramel, extrait de stevia, acide phosphorique, benzoate de potassium, essence naturelle, cafeine, acide citrique, acide malique"
3135488,Ferrero Küsschen Brownie Style,Ferrero,"milchschokolade 91 % (zucker, kakaobutter, vollmilchpulver, kakaomasse, emulgator lecithine (soja), vanillin), weizenmehl, zucker, butter (1%), fettarmer kakao, kakao, sonnenblumenöl, aromen, salz. kakao: 33,5 %"
6831310,"Burger Sauce, Burger",Heinz,"water, vegetable oil, horseradish, sugars (sugar, maltodextrin, molasses, corn syrup), modified corn starch, vinegar, spices (mustard), seasonings, salt, liquid whole egg, garlic, liquid yolk, lactic acid, phosphoric acid, potassium sorbate, propylene glycol alginate, xanthan gum, flavour, sodium benzoate, caramel, calcium disodium edta, pectin, citric acid, tartaric acid, beta-carotene."
7491276,Nutella,Nutella,"one spread sgs مواد حافظة - و إعادة التدويرا سيربروا، او ۱۳ - الألبا، إيطاليا preservatives verified by ....... التحقق من قبل ما في مالی دارد دانه که الان مباشرة للم الشمس store in a cool day place, away from direct sonlight بدون ملونات / no colorings * se nirella = المحميات سكر، ذهن نباتي (النخيل، يندق (۱۳ (۷۰) محلات المسيئين (العويا دوار الشمس ال حليب منوع الدسم (۱۸۷)، مسحوق كاكاو قليل القسم استحسان (ملیاس مطابق الطبيعي، معلومات الحساسية الخير= دا عرفها من تحتوي على البندق، الحليب الصويا، صدع في ل شرحه هو الدتريال إيطاليا بي لي بي ingredients sugar, vegetable fat ala hazelnuts (13) sommed milk powder (37m, fat reduced cocoa powder (7a, emulsirer lecithins (sov sunflower, flavouring natural identical vanilun allergen information: cors haztubuts, milx, y made in italy by ferrero industriale italia pep 11 a no sgs.com/nutella"
7582,Rice Krispies,Kellogg's,"riz soufflé, sucre, sel, extrait de malt d'orge, niacine, fer, vitamine b6, riboflavine, thiamine, acide folique, vitamine d, vitamine b12."
7303540589249554,"California Pizza Kitchen, Asparagus & Arugula Salad",California Pizza Kitchen,undefined
36512479070940426,"California Pizza Kitchen, B 52 Coffee",California Pizza Kitchen,undefined
78111654199415487269,"California Pizza Kitchen, CPK Mango Lemonade",California Pizza Kitchen,undefined
1925489847629969178,"California Pizza Kitchen, Coconut Blossom",California Pizza Kitchen,undefined
8052264558104749341316,"California Pizza Kitchen, Dakota Smashed Pea & Barley Soup, Bowl",California Pizza Kitchen,undefined
307526704168469618281,"California Pizza Kitchen, Fanta Orange",California Pizza Kitchen,undefined
59028449388798250777,"California Pizza Kitchen, Fanta Punch",California Pizza Kitchen,undefined
1086548439605158874,"California Pizza Kitchen, Fresca",California Pizza Kitchen,undefined
3235506446941567350,"California Pizza Kitchen, GF BBQ Chicken Pizza, 1 Slice",California Pizza Kitchen,undefined
8996741747012485,"California Pizza Kitchen, House Salad",California Pizza Kitchen,undefined
5330474984767409180,"California Pizza Kitchen, J Lohr Seven Oaks Cabernet Sauvignon, 3 Oz",California Pizza Kitchen,undefined
657415434967844034,"California Pizza Kitchen, Le Grand Courtage Brut, Bottle",California Pizza Kitchen,undefined
3809211,Raisin Bran Crunch,kellogg's,"polas. 410mg 8% niacin 20% • phosphorus 10% • magnesium 10% e al, sugar, rice, raisins, wheat bran, whole grain oats, brown sug syrup, sal, natural flavor, modified com starch, molasses, paim a coodl raisin bran crunch® amount/serving % dv* amount/serving sop strition cts 2% sodium 290mg 0% total carb. 68g 25% dietary fiber 7g 23% total sugars 28g incl. 19g added sugars 38% 13% total fat 1.5g saturated fat 0g trans fat 0g polyunsaturated fat 0.5g ner (80g) monounsaturated fat og cholesterol omg container 0% protein 5g 280 vit. d omcg 0% • calcium 30mg 2% • iron 1.5mg 8% polas. 410mg 8% • nlacin 20% • phosphorus 10% • magnesumth auc 10% • copper 25% • manganese 80% , tice, raisins, wheat bran, whole grain osals, brown spe wieat ingredients. kelogg salen 3019 kelogg"
67593731145588725974869,"California Pizza Kitchen, Margherita Pizza, 1 Slice",California Pizza Kitchen,undefined
72604603429995250933647,"California Pizza Kitchen, Meiomi Pinot Noir, 9 Oz",California Pizza Kitchen,undefined
231299649370369833355,"California Pizza Kitchen, Miller Lite, 12 Oz",California Pizza Kitchen,undefined
4467567454295020023,"California Pizza Kitchen, Modelo Especial, 12 Oz",California Pizza Kitchen,undefined
2057491,Kellogs choco Krispies,Kellogg's,"&quot;energie 6%&quot;, &quot;zucker 6%&quot;, &quot;salz 4%&quot;, &quot;gesättigte fettsäuren 2%&quot;, &quot;fett 1%&quot;"
1089694498857304909239,"California Pizza Kitchen, Nobilo Sauvignon Blanc, 6 Oz",California Pizza Kitchen,undefined
5762403330645818101996969,"California Pizza Kitchen, Original BBQ Chicken Pizza, Kids",California Pizza Kitchen,undefined
